product_id,sku,original_filename,export_filename,size_bytes,width,height,status,format
P-0127,P-0127,P-0127.jpg,P-0127_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0128,P-0128,P-0128.jpg,P-0128_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0129,P-0129,P-0129.jpg,P-0129_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0130,P-0130,P-0130.jpg,P-0130_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0131,P-0131,P-0131.jpg,P-0131_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0132,P-0132,P-0132.jpg,P-0132_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0133,P-0133,P-0133.jpg,P-0133_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0134,P-0134,P-0134.jpg,P-0134_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0135,P-0135,P-0135.jpg,P-0135_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0136,P-0136,P-0136.jpg,P-0136_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0137,P-0137,P-0137.jpg,P-0137_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0138,P-0138,P-0138.jpg,P-0138_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0139,P-0139,P-0139.jpg,P-0139_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0140,P-0140,P-0140.jpg,P-0140_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0141,P-0141,P-0141.jpg,P-0141_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0142,P-0142,P-0142.jpg,P-0142_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0143,P-0143,P-0143.jpg,P-0143_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0144,P-0144,P-0144.jpg,P-0144_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0145,P-0145,P-0145.jpg,P-0145_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0146,P-0146,P-0146.jpg,P-0146_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0147,P-0147,P-0147.jpg,P-0147_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0148,P-0148,P-0148.jpg,P-0148_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0149,P-0149,P-0149.jpg,P-0149_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0150,P-0150,P-0150.jpg,P-0150_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0151,P-0151,P-0151.jpg,P-0151_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0152,P-0152,P-0152.jpg,P-0152_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0153,P-0153,P-0153.jpg,P-0153_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0154,P-0154,P-0154.jpg,P-0154_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0155,P-0155,P-0155.jpg,P-0155_1.jpg,6619,,,READY_FOR_UPLOAD,
