PID,Product Code,Product Name,HSN Code,Part / Group,Barcode,Purchase Price,Retail Price,Discount,CGST,SGST,CESS,Qty. Available,Main Unit,Wholesale Price,MRP,Category,Sub Category / Brand,Last Sold Price,Good Product Qty,Damage Product Qty,Description,Minimum Stock,Sale Tax Type,Purchase Tax Type,Godown,Rack,Batch,Mfg Date,Exp Date,Size,Colour,Def Qty,IMEI-1,IMEI-2,Exact Purchase Price
179,P-0179,Tshirt pant set opening stock,gbb,,1391,272.00,475.00,20.00,0.00,0.00,0.00,1.000,NOS,350.00,870.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,272.00
71,P-0071,TT collar tshirt 1250,,,1179,244.00,440.00,20.00,0.00,0.00,0.00,20.000,NOS,300.00,732.00,Kids wear(Boys),Tshirt boys,440.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,244.00
292,P-0292,TT Cool,,,1700,210.00,399.00,20.00,2.50,2.50,0.00,11.000,NOS,299.00,630.00,Female wear,leggings,250.00,,,,0.000,Inclusive,Inclusive,,,,,,Free,,1,,,210.00
292,P-0292,TT Cool,,,1701,220.00,419.00,20.00,2.50,2.50,0.00,2.000,NOS,319.00,660.00,Female wear,leggings,250.00,,,,0.000,Inclusive,Inclusive,,,,,,Free,,1,,,220.00
284,P-0284,TT Cool (boys capri set),gbb,,1675,245.00,470.00,20.00,0.00,0.00,0.00,4.000,NOS,349.00,735.00,Kids wear(Boys),H/s set,,,,,0.000,Inclusive,Inclusive,,,,,,,,1,,,245.00
285,P-0285,TT Cool (boys P/J set),gbb,,1676,248.00,476.00,20.00,0.00,0.00,0.00,4.000,NOS,349.00,744.00,Kids wear(Boys),H/s set,,,,,0.000,Inclusive,Inclusive,,,,,,,,1,,,248.00
283,P-0283,TT Cool (girls capry set),gbb,,1674,235.00,358.00,0.00,0.00,0.00,0.00,5.000,NOS,329.00,448.00,Kids wear(Girls),H/s set,,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,235.00
225,P-0225,TT Fun clothing (Tshirt),gbb,,1630,170.00,251.00,20.00,0.00,0.00,0.00,4.000,NOS,180.00,510.00,Kids wear(Girls),Tshirt,193.00,,,,0.000,Inclusive,Exclusive,,,,,,14 year,,1,,,170.00
225,P-0225,TT Fun clothing (Tshirt),gbb,,1631,120.00,193.00,20.00,0.00,0.00,0.00,13.000,NOS,129.00,360.00,Kids wear(Girls),Tshirt,193.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,120.00
291,P-0291,TT pearl,,,1699,167.00,322.00,20.00,2.50,2.50,0.00,8.000,NOS,239.00,587.00,Female wear,leggings,257.00,,,,0.000,Inclusive,Inclusive,,,,,,,,1,,,167.00
345,P-0345,TT Pearl Long Slips,,,2040,75.00,115.00,0.00,2.50,2.50,0.00,8.000,NOS,79.00,144.00,Female wear,slips,150.00,,,,0.000,Inclusive,Inclusive,,,,,,100,,1,,,75.00
345,P-0345,TT Pearl Long Slips,,,2041,66.00,102.00,0.00,2.50,2.50,0.00,2.000,NOS,70.00,128.00,Female wear,slips,150.00,,,,0.000,Inclusive,Inclusive,,,,,,90,,1,,,66.00
345,P-0345,TT Pearl Long Slips,,,2042,66.00,102.00,0.00,2.50,2.50,0.00,9.000,NOS,70.00,128.00,Female wear,slips,150.00,,,,0.000,Inclusive,Inclusive,,,,,,85,,1,,,66.00
345,P-0345,TT Pearl Long Slips,,,2043,66.00,102.00,0.00,2.50,2.50,0.00,10.000,NOS,70.00,128.00,Female wear,slips,150.00,,,,0.000,Inclusive,Inclusive,,,,,,80,,1,,,66.00
345,P-0345,TT Pearl Long Slips,,,2044,66.00,100.00,0.00,2.50,2.50,0.00,24.000,NOS,70.00,125.00,Female wear,slips,150.00,,,,0.000,Inclusive,Inclusive,,,,,,75,,1,,,66.00
335,P-0335,TT pearl slips dyed,,,4009,65.00,100.00,0.00,2.50,2.50,0.00,5.000,NOS,79.00,125.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,75,,1,,,65.00
335,P-0335,TT pearl slips dyed,,,8904122413200,66.00,102.00,0.00,2.50,2.50,0.00,2.000,NOS,77.00,128.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,90,,1,,,66.00
335,P-0335,TT pearl slips dyed,,,4011,51.00,78.00,0.00,2.50,2.50,0.00,18.000,NOS,65.00,98.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,90,,1,,,51.00
335,P-0335,TT pearl slips dyed,,,4013,55.00,85.00,0.00,2.50,2.50,0.00,5.000,NOS,69.00,107.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,100,,1,,,55.00
335,P-0335,TT pearl slips dyed,,,61,61.90,100.00,0.00,2.50,2.50,0.00,9.000,NOS,79.00,125.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,75,,1,,,61.90
336,P-0336,TT pearl slips W OP,,,4004,56.80,88.00,0.00,2.50,2.50,0.00,2.000,NOS,88.00,111.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,75,,1,,,56.80
336,P-0336,TT pearl slips W OP,,,8904122413125,58.30,91.00,0.00,2.50,2.50,0.00,1.000,NOS,88.00,114.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,80,,1,,,58.30
336,P-0336,TT pearl slips W OP,,,4005,60.80,91.00,0.00,2.50,2.50,0.00,4.000,NOS,88.00,114.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,85,,1,,,60.80
336,P-0336,TT pearl slips W OP,,,4006,58.30,91.00,0.00,2.50,2.50,0.00,5.000,NOS,88.00,114.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,90,,1,,,55.52
336,P-0336,TT pearl slips W OP,,,4008,52.00,80.00,0.00,2.50,2.50,0.00,8.000,NOS,59.00,101.00,Female wear,slips,100.00,,,,0.000,Inclusive,Inclusive,,,,,,100,,1,,,52.00
40,P-0040,tutor 1125 1150,,,1077,150.00,300.00,20.00,0.00,0.00,0.00,2.000,NOS,200.00,450.00,Mens wear,Tshirt,240.00,,,,0.000,Inclusive,Exclusive,MEN'S COUNTER,,,,,,,1,,,150.00
2360,P-2360,Tutor 1152,,,4947,152.00,275.00,20.00,0.00,0.00,0.00,1.000,NOS,198.00,456.00,Mens wear,Tshirt,275.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,152.00
1487,P-1487,TUTOR T SHIRT 1170,,,4046,170.00,315.00,20.00,0.00,0.00,0.00,3.000,NOS,180.00,510.00,Mens wear,Tshirt,315.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,170.00
1488,P-1488,TUTOR T SHIRT 1200,,,4047,200.00,375.00,20.00,0.00,0.00,0.00,6.000,NOS,210.00,600.00,Mens wear,Tshirt,,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,200.00
1056,P-1056,Twins 1185,,,3506,185.00,350.00,20.00,0.00,0.00,0.00,2.000,NOS,200.00,540.00,Kids wear(Boys),H/s set,350.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,185.00
1057,P-1057,Twins 1195,,,3507,195.00,375.00,20.00,0.00,0.00,0.00,1.000,NOS,200.00,580.00,Kids wear(Boys),H/s set,375.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,195.00
2246,P-2246,Twins 1211,,,4831,211.00,375.00,20.00,0.00,0.00,0.00,1.000,NOS,299.00,633.00,Kids wear(Boys),H/s set,375.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,211.00
1663,P-1663,Twins 1235,,,4219,235.00,425.00,20.00,0.00,0.00,0.00,2.000,NOS,249.00,705.00,Kids wear(Boys),F/s set,425.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,235.00
1799,P-1799,Twins 1240,,,4356,240.00,450.00,20.00,0.00,0.00,0.00,1.000,NOS,299.00,720.00,Kids wear(Boys),F/s set,450.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,240.00
